feature,importance
sg,0.8694470406489743
hemo,0.6322412018879319
al,0.5500374639741954
pcv,0.4593754802560774
rbcc,0.3299898704379935
bgr,0.31836709520545436
su,0.23041119819334538
htn,0.19915421499221417
bu,0.1872211687113071
bp,0.18696020506023647
dm,0.18234665336140182
sod,0.1516610400638009
sc,0.13596911575538137
appet,0.1128331199019196
pe,0.08995151796252664
pc,0.03984928099513914
age,0.03610065499722044
wbcc,0.03598205740376705
rbc,0.029313232039370713
ane,0.028853380566442183
pot,0.013792053331140646
pcc,0.00733998828626551
cad,0.004228168677854985
ba,0.0014247903179892512
