feature,importance
ppe,2.6473704110770897
spread2,1.5755180060961695
mdvp_fo,1.5312441111247912
spread1,1.2452674679142464
d2,1.0276360092783265
mdvp_fhi,1.0176639028066747
nhr,0.7822499176660349
jitter_ddp,0.6117820822187898
mdvp_rap,0.5751912174996201
dfa,0.4628266588316223
mdvp_jitter_abs,0.34269560908545127
rpde,0.3250961115696302
mdvp_jitter_percent,0.3211135156433687
shimmer_apq5,0.2843805974107465
shimmer_dda,0.2220163566565734
shimmer_apq3,0.18009296544931153
mdvp_apq,0.15297290001467362
hnr,0.10289207987000051
mdvp_ppq,0.1017614833257343
mdvp_flo,0.0943387025770533
mdvp_shimmer_db,0.04498070816938757
mdvp_shimmer,0.03452824716070998
